Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1992-0093-DEU|1992|0093||Natural|Geophysical|Earthquake|Ground movement|||Germany|DEU|Western Europe|Europe|Heinsberg, Bonn, Koln (Western)|||||No|No||6|Richter|51.153Â° N|5.798Â° E|||1992|4|13|1992|4|13|1|25|1500||1525|||||50000|104284|47,9461296367986||||
1992-0346-DEU|1992|0346||Technological|Technological|Transport accident|Road|||Germany|DEU|Western Europe|Europe|Donaueschingen|||||No|No||||||||1992|9|6|1992|9|6|21|32|||32|||||||47,9461296367986||||
1992-0345-DEU|1992|0345||Technological|Technological|Transport accident|Rail|||Germany|DEU|Western Europe|Europe|Northeim||||||||||||||1992|11|15|1992|11|15|11|52|||52|||||||47,9461296367986||||
1992-0556-DEU|1992|0556||Natural|Hydrological|Flood||||Germany|DEU|Western Europe|Europe|Wuppertal, Radevormwald|||||No|No|||Km2|||||1992|8|28|1992|8|30||||||||||30100|62779|47,9461296367986||||
1992-9200-DNK|1992|9200||Natural|Climatological|Drought|Drought|||Denmark|DNK|Northern Europe|Europe||||||||||Km2|||||1992|5||1992|7|||||||||||751700|1567801|47,9461296367986||||
1993-0065-CHE|1993|0065||Natural|Meteorological|Storm|Convective storm|Hail||Switzerland|CHE|Western Europe|Europe|||Hail|||No|No|||Kph|||||1993|7|4|1993|7|5||||||||15000|30388|22000|44569|49,3613321649381||||
1993-0065-DEU|1993|0065||Natural|Meteorological|Storm|Convective storm|Hail||Germany|DEU|Western Europe|Europe|||Hail|||No|No|||Kph|||||1993|7|5|1993|7|6||||||||25000|50647|30000|60776|49,3613321649381||||
1993-0211-CHE|1993|0211||Natural|Meteorological|Storm||||Switzerland|CHE|Western Europe|Europe|||Flood|||No|No|||Kph|||||1993|9|22|1993|9|25|2|||||||240000|486211|420000|850868|49,3613321649381||||
1993-0065-AUT|1993|0065||Natural|Meteorological|Storm|Convective storm|Hail||Austria|AUT|Western Europe|Europe||||||No|No|||Kph|||||1993|7|5|1993|7|6||||||||||1000|2026|49,3613321649381||||
1993-0094-BEL|1993|0094||Natural|Hydrological|Flood|Riverine flood|||Belgium|BEL|Western Europe|Europe|South Wallonia|||||||||Km2|||||1993|1|11|1993|1|11|||600||600|||||||49,3613321649381||||
