country_name,country_code,population_1990,population_1991,population_1992,population_1993,population_1994,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020
NAMIBIA,NAM,3969.0,309.0,2487.0,5464.0,5578.0,5712.0,5866.0,6023.0,6180.0,6333.0,5709.0,2869.0,-1913.0,-6153.0,-7192.0,-8195.0,-8792.0,-8905.0,-8775.0,-8626.0,-8518.0,-8639.0,-8596.0,-8580.0,-8607.0,-8596.0,-8596.0,-8597.0,-8596.0,-8596.0,-4301.0
NEW CALEDONIA,NCL,953.0,1025.0,1037.0,1057.0,1089.0,1072.0,979.0,901.0,901.0,938.0,969.0,1001.0,1022.0,928.0,543.0,83.0,572.0,582.0,580.0,1005.0,1709.0,1756.0,1793.0,1860.0,510.0,-2230.0,-2346.0,-2389.0,-2386.0,-2336.0,-1182.0
NIGER,NER,84.0,-1513.0,-2266.0,-2277.0,-966.0,3837.0,-8065.0,-13699.0,-7303.0,-12054.0,-8533.0,-8668.0,-9560.0,-8855.0,-9082.0,-9710.0,-10071.0,-10086.0,-9853.0,-9028.0,-8045.0,-6953.0,18714.0,-2551.0,3883.0,17051.0,14833.0,-6827.0,-3816.0,-15787.0,-4403.0
NIGERIA,NGA,107212.0,12661.0,63692.0,60446.0,98121.0,43504.0,54743.0,67109.0,62195.0,41275.0,34146.0,37267.0,39619.0,4194.0,16528.0,-46749.0,-41526.0,-38960.0,-43402.0,-48397.0,18073.0,38226.0,41741.0,10588.0,-49351.0,-145917.0,-54315.0,15016.0,-81384.0,-103989.0,-4824.0
NICARAGUA,NIC,-24283.0,-24030.0,-24173.0,-24094.0,-24774.0,-25888.0,-35212.0,-36845.0,-38264.0,-40098.0,-42092.0,-43839.0,-44899.0,-44933.0,-44221.0,-33283.0,-32274.0,-31360.0,-30675.0,-29914.0,-29081.0,-28224.0,-27388.0,-26589.0,-25571.0,-24359.0,-23081.0,-21841.0,-20739.0,-19733.0,-10384.0
NETHERLANDS,NLD,32373.0,35486.0,37760.0,38984.0,39389.0,38760.0,37200.0,34673.0,31182.0,26897.0,21650.0,17665.0,14789.0,13122.0,12819.0,13610.0,15632.0,18739.0,23206.0,28780.0,35628.0,41782.0,46924.0,51268.0,54876.0,57677.0,59528.0,60585.0,60758.0,60266.0,58816.0
NORWAY,NOR,1895.0,8076.0,10216.0,12589.0,7652.0,6522.0,5756.0,9777.0,13331.0,19147.0,9789.0,7888.0,17269.0,11447.0,13425.0,18467.0,24017.0,39806.0,43884.0,39234.0,42906.0,47281.0,47786.0,40480.0,38565.0,30329.0,26425.0,21584.0,18388.0,25564.0,10756.0
NEPAL,NPL,-650.0,17056.0,84106.0,-37782.0,-27423.0,-86300.0,-92417.0,-98574.0,-108537.0,-122704.0,-147403.0,-149185.0,-160257.0,-183002.0,-212507.0,-238799.0,-271254.0,-282748.0,-294886.0,-300762.0,-293613.0,-347554.0,-371708.0,-373065.0,-310157.0,-221059.0,-98016.0,-78062.0,-81130.0,-70597.0,306664.0
NAURU,NRU,71.0,65.0,-110.0,-193.0,-198.0,-201.0,-205.0,-208.0,-213.0,-217.0,-223.0,-228.0,-219.0,-211.0,-223.0,-234.0,-247.0,-258.0,-263.0,-262.0,-252.0,-207.0,-32.0,-34.0,-31.0,-31.0,-31.0,-34.0,-39.0,-107.0,-68.0
NEW ZEALAND,NZL,71491.0,30577.0,6535.0,12337.0,20272.0,26133.0,24974.0,11761.0,-1765.0,-8993.0,-6080.0,17140.0,47693.0,42181.0,24480.0,19148.0,14521.0,2976.0,4679.0,12403.0,6258.0,-2405.0,-1539.0,22547.0,48532.0,47165.0,50012.0,48815.0,80419.0,103392.0,38220.0
OMAN,OMN,33492.0,33643.0,33345.0,28131.0,-14802.0,-15515.0,-16769.0,-17943.0,-19193.0,-20097.0,-19889.0,-20234.0,-20634.0,-20635.0,-855.0,-630.0,-398.0,-755.0,-2491.0,-4718.0,264095.0,266486.0,262093.0,161176.0,75961.0,134260.0,118472.0,5777.0,-51177.0,-106864.0,-164408.0
PAKISTAN,PAK,30184.0,-6127.0,-1320633.0,-278.0,-276644.0,296208.0,147987.0,151546.0,148849.0,148403.0,940739.0,344288.0,-834546.0,-578225.0,-524871.0,-632467.0,-628923.0,-563471.0,-525915.0,-338507.0,-431891.0,-890633.0,-1647986.0,-1906315.0,-2037911.0,-2172159.0,-2290411.0,-1574581.0,-1309609.0,-1177218.0,-588736.0
PANAMA,PAN,-854.0,-305.0,182.0,560.0,899.0,1221.0,1533.0,1820.0,2084.0,2341.0,2602.0,2856.0,3099.0,3352.0,3596.0,3843.0,4087.0,4330.0,4568.0,4765.0,4953.0,5167.0,5447.0,5926.0,7105.0,8648.0,10109.0,11059.0,11130.0,10623.0,5473.0
PERU,PER,-35982.0,-61663.0,-51779.0,-51720.0,-39297.0,-46443.0,-38694.0,-32467.0,-35941.0,-60881.0,-94554.0,-128827.0,-157162.0,-181202.0,-194133.0,-221582.0,-231739.0,-236705.0,-235263.0,-219304.0,-181284.0,-148270.0,-118758.0,-95149.0,-50381.0,2462.0,80725.0,104242.0,326831.0,136558.0,79456.0
PHILIPPINES,PHL,-149089.0,-198673.0,-179039.0,-169227.0,-147940.0,-143386.0,5539.0,-3109.0,-24139.0,-59467.0,-122971.0,-185071.0,-195877.0,-204925.0,-182951.0,-223074.0,-235227.0,-217909.0,-190626.0,-232359.0,-183268.0,-103875.0,-156051.0,-199869.0,-237890.0,6954.0,79051.0,36111.0,-15371.0,-24066.0,-41937.0
PALAU,PLW,169.0,188.0,189.0,189.0,209.0,283.0,408.0,415.0,420.0,415.0,79.0,-78.0,-78.0,-76.0,-68.0,-277.0,-338.0,-337.0,-342.0,-347.0,-356.0,-364.0,-339.0,-50.0,-51.0,8.0,8.0,8.0,8.0,8.0,7.0
PAPUA NEW GUINEA,PNG,2397.0,26836.0,36623.0,38223.0,39667.0,40951.0,41986.0,42791.0,43097.0,42513.0,41857.0,41963.0,42657.0,43638.0,44804.0,46016.0,47192.0,48204.0,48988.0,49646.0,50107.0,40693.0,37896.0,35283.0,32841.0,30581.0,28474.0,26515.0,24688.0,22977.0,10695.0
POLAND,POL,-41244.0,-44836.0,-43464.0,-38654.0,-36956.0,-48065.0,-38917.0,-37561.0,-39215.0,-24652.0,315602.0,-21293.0,-21339.0,-22621.0,-17064.0,-21324.0,-47251.0,-29316.0,-20946.0,14220.0,-8835.0,-12188.0,-12077.0,-27597.0,-24234.0,-25426.0,-1967.0,-1983.0,-8736.0,-2974.0,-779.0
PUERTO RICO,PRI,-8238.0,-4808.0,-6082.0,-7941.0,-8199.0,-8680.0,-9170.0,-10803.0,-7644.0,-7546.0,-22489.0,-28052.0,-28183.0,-29216.0,-32210.0,-33430.0,-33275.0,-32608.0,-30804.0,-29338.0,-33742.0,-38794.0,-45035.0,-52866.0,-64956.0,-64764.0,-65824.0,-62275.0,-17320.0,-16013.0,-7408.0
"KOREA, DEM. PEOPLE'S REP.",PRK,0.0,0.0,0.0,0.0,-525.0,-3093.0,-3507.0,-3738.0,-3706.0,-3436.0,-3139.0,-2883.0,-2770.0,-2720.0,-2759.0,-2860.0,-2950.0,-3020.0,-3046.0,-3055.0,-3047.0,-2958.0,-2918.0,-2936.0,-3039.0,-3200.0,-3218.0,-3222.0,-3223.0,-3139.0,-1589.0
PORTUGAL,PRT,-33704.0,-35318.0,-7612.0,11901.0,22141.0,30130.0,35377.0,39207.0,43501.0,49266.0,63195.0,57075.0,45651.0,28311.0,17114.0,17155.0,18775.0,21954.0,10008.0,15657.0,-11820.0,-24048.0,-37448.0,-36657.0,-30033.0,-10124.0,-8128.0,5244.0,10177.0,43656.0,40535.0
PARAGUAY,PRY,-4689.0,-5420.0,-6032.0,-6432.0,-6996.0,-7653.0,-8273.0,-8707.0,-9279.0,-11357.0,-15880.0,-27672.0,-36917.0,-39940.0,-40910.0,-42163.0,-44565.0,-45914.0,-44677.0,-40108.0,-26173.0,-20435.0,-17761.0,-17238.0,-16990.0,-16833.0,-16734.0,-16628.0,-16470.0,-16270.0,-8230.0
WEST BANK AND GAZA,PSE,-476.0,2116.0,4411.0,5975.0,7434.0,8763.0,9810.0,10417.0,-13145.0,-13857.0,-11501.0,-25657.0,-35034.0,-35960.0,-32854.0,-28157.0,-23450.0,-20334.0,-23981.0,-25908.0,-26350.0,-26662.0,-26918.0,-26976.0,-27076.0,-22904.0,-22774.0,-25452.0,-25137.0,-24737.0,-12369.0
FRENCH POLYNESIA,PYF,-904.0,-925.0,-933.0,-944.0,-961.0,-919.0,-727.0,-487.0,-417.0,-455.0,-460.0,-431.0,-304.0,-130.0,-61.0,-93.0,-342.0,-1179.0,-2190.0,-2603.0,-2613.0,-2521.0,-2639.0,-1988.0,-1668.0,-1676.0,-1687.0,-1046.0,-952.0,-861.0,-378.0
QATAR,QAT,5021.0,5494.0,5451.0,5250.0,5106.0,4893.0,4552.0,19387.0,22500.0,22364.0,22039.0,21641.0,24200.0,23444.0,12430.0,106609.0,203572.0,206156.0,192654.0,111510.0,64531.0,82815.0,83444.0,137597.0,179768.0,178133.0,138455.0,46900.0,11662.0,15493.0,-163999.0
ROMANIA,ROU,-39265.0,-32488.0,-76545.0,-76366.0,-80789.0,-75823.0,-70462.0,-88880.0,-89939.0,-85301.0,-91807.0,-87561.0,-101632.0,-97597.0,-106593.0,-129933.0,-125012.0,-127609.0,-138327.0,-129392.0,-112173.0,-47867.0,-21485.0,-13890.0,-20445.0,-49612.0,-64002.0,-58735.0,-57865.0,-25453.0,-12724.0
RUSSIAN FEDERATION,RUS,257950.0,124261.0,443129.0,731233.0,658544.0,544803.0,463685.0,463215.0,464127.0,518140.0,404928.0,287206.0,289174.0,241147.0,239753.0,244437.0,282022.0,372974.0,385471.0,374958.0,253479.0,295952.0,304059.0,291552.0,260843.0,384942.0,373316.0,350105.0,336527.0,333509.0,340711.0
RWANDA,RWA,-31720.0,-48085.0,3454.0,126168.0,-2162873.0,443316.0,1372202.0,239690.0,-84051.0,-97819.0,-99860.0,-91955.0,-47989.0,-17399.0,-18936.0,-23051.0,-20195.0,-17724.0,-16880.0,-15121.0,-8394.0,-5358.0,-14824.0,-15833.0,-15027.0,-14477.0,-2605.0,-5169.0,-10794.0,-11823.0,-1579.0
SAUDI ARABIA,SAU,186898.0,165010.0,130258.0,31317.0,35332.0,27095.0,29773.0,31781.0,29767.0,24400.0,17241.0,19616.0,22830.0,17278.0,10112.0,481349.0,490805.0,495746.0,495131.0,494189.0,236962.0,94083.0,88879.0,77738.0,65520.0,60337.0,171429.0,282947.0,253245.0,241172.0,-1025295.0
SUDAN,SDN,-227157.0,-254515.0,-248714.0,-87480.0,-70382.0,-71692.0,-56798.0,-47334.0,-48202.0,-58808.0,-80698.0,-136249.0,-159912.0,-149595.0,-86754.0,-10644.0,-12376.0,-13752.0,-72121.0,-79473.0,-331713.0,-337194.0,-221502.0,-185339.0,85052.0,49080.0,97646.0,189497.0,74198.0,-29450.0,86.0
